Data,Real,Previsao
2018-10-23,155140.1,152196.81
2018-10-24,37772.5,104684.35
2018-10-26,21847.8,42596.94
2018-10-29,223678.4,262177.16
2018-11-01,119256.3,106148.82
2018-11-04,162966.8,135168.38
2018-11-05,312581.3,259491.16
2018-11-06,305982.6,292326.34
2018-11-23,135912.9,130910.67
2018-11-29,180686.7,178595.2
2018-12-01,118208.2,48584.77
2018-12-08,147654.6,91110.945
2018-12-10,127101.4,153277.17
2018-12-11,45183.8,55258.508
2018-12-12,133301.2,154573.44
2018-12-15,262492.2,235394.77
2018-12-16,265782.3,257333.33
2018-12-18,280305.5,188669.03
2018-12-22,55915.9,155897.5
2018-12-25,103779.0,128105.81
2018-12-29,261293.8,208769.69
2018-12-30,258629.5,219594.12
2019-01-08,142505.0,119367.69
2019-01-09,130222.1,121012.03
2019-01-15,56765.9,86161.45
2019-01-19,221413.1,146315.86
2019-01-21,126804.1,139529.12
2019-01-23,407611.3,390656.6
2019-01-26,69476.8,50295.56
2019-01-28,298633.9,268210.66
2019-02-03,75994.5,131213.31
2019-02-04,13839.9,62615.605
2019-02-05,4759.5,65678.2
2019-02-08,64268.6,56631.18
2019-02-11,128982.1,116275.03
2019-02-14,286147.0,157125.31
2019-02-15,132888.9,148141.64
2019-02-20,82589.5,90167.23
2019-02-22,256997.1,184039.9
2019-03-03,194118.1,106065.59
2019-03-04,136272.4,156073.12
2019-03-05,273185.1,241884.94
2019-03-13,274669.7,228693.78
2019-03-20,198405.1,156195.72
2019-03-24,133258.7,132021.83
2019-03-26,331071.8,221577.84
2019-03-28,137525.1,141928.6
2019-03-30,34315.0,78561.125
2019-04-02,87334.8,105740.1
2019-04-04,160533.5,141561.19
2019-04-05,205416.3,214513.28
2019-04-06,308493.4,284107.28
2019-04-07,196440.1,215502.78
2019-04-08,206792.1,207501.56
2019-04-13,29588.3,60501.027
2019-04-15,161280.2,138804.23
2019-04-16,100753.0,130225.99
2019-04-20,222286.4,150355.47
2019-04-26,118321.4,193011.19
2019-04-27,79197.0,105997.89
2019-04-30,73385.6,75503.734
2019-05-03,97919.4,51489.637
2019-05-05,60124.8,64118.527
2019-05-06,45399.8,96375.875
2019-05-07,189515.4,148392.31
2019-05-12,208762.2,153671.34
2019-05-14,121624.0,40363.277
2019-05-23,149689.7,151944.12
2019-05-26,133080.9,146060.11
2019-05-31,68118.6,54416.86
2019-06-01,68261.9,62703.055
2019-06-02,88521.1,105710.4
2019-06-03,98352.6,105119.47
2019-06-04,190697.8,190524.34
2019-06-07,149270.0,184407.69
2019-06-08,100679.0,159492.38
2019-06-09,136418.1,160230.44
2019-06-10,155181.6,181449.39
2019-06-12,140851.8,189524.44
2019-06-13,119542.0,159914.7
2019-06-16,63296.7,92393.8
2019-06-18,237032.8,207864.78
2019-06-19,81032.4,154874.44
2019-06-20,92486.3,138667.03
2019-06-21,88768.4,121811.11
2019-07-01,103111.7,109410.016
2019-07-04,58137.4,82669.12
2019-07-06,40428.5,91598.3
2019-07-07,38711.1,89538.26
2019-07-09,59926.9,65292.59
2019-07-10,78116.5,53928.348
2019-07-12,48274.1,42877.55
2019-07-19,99551.6,119316.27
2019-07-21,86274.3,96725.14
2019-07-24,71878.8,84907.1
2019-07-28,89061.8,113463.875
2019-08-02,101752.1,99786.68
2019-08-03,127871.7,113000.64
2019-08-04,107731.0,136325.69
2019-08-05,108642.8,108411.38
2019-08-06,72487.5,98620.16
2019-08-08,203442.5,173870.56
2019-08-09,169991.4,188975.0
2019-08-10,98983.8,149340.5
2019-08-15,137797.0,115417.734
2019-08-23,88445.1,33707.285
2019-08-25,65125.8,52390.582
2019-08-27,34159.5,76796.03
2019-08-31,61790.9,80641.984
2019-09-01,79642.8,74585.3
2019-09-06,232393.6,208682.1
2019-09-07,192899.5,142546.53
2019-09-09,125649.3,179592.9
2019-09-10,284909.8,241865.19
2019-09-11,216346.4,166702.25
2019-09-16,22138.7,37645.387
2019-09-22,93071.0,156224.78
2019-09-26,71957.5,78481.19
2019-10-04,57651.5,94408.2
2019-10-05,79606.8,79534.76
2019-10-14,232992.0,239654.31
2019-10-17,162159.7,215513.06
2019-10-18,96714.4,130649.664
2019-10-23,234111.3,216181.28
2019-10-27,115362.9,128350.22
2019-10-28,103811.3,118612.77
2019-11-03,348818.0,350040.5
2019-11-07,320515.2,246593.0
2019-11-08,209664.4,167577.7
2019-11-10,288023.5,257424.98
2019-11-12,266547.3,172700.88
2019-11-14,405723.1,380385.53
2019-11-16,150932.6,150439.67
2019-11-19,68266.5,62228.51
2019-11-22,415542.8,376420.0
2019-12-01,288769.9,230365.22
2019-12-05,243773.8,163199.19
2019-12-07,18826.4,45683.18
2019-12-08,70962.3,61818.953
2019-12-09,98672.5,77472.98
2019-12-12,389776.9,336104.53
2019-12-19,367424.1,500696.28
2019-12-27,106618.8,103566.59
2019-12-29,92990.2,101268.266
2019-12-31,13263.1,58976.3
2020-01-10,188112.5,151761.27
2020-01-12,4141.8,59928.062
2020-01-14,274179.9,254760.78
2020-01-18,307958.3,230892.86
2020-01-19,341758.1,262378.6
2020-01-21,346979.6,263292.1
2020-01-22,252543.9,208483.03
2020-01-25,52370.4,38506.59
2020-01-26,92338.3,70470.19
2020-01-27,322299.1,239428.02
2020-01-28,228530.8,214357.72
2020-01-31,183207.2,163114.25
2020-02-01,146252.1,94764.75
2020-02-02,102440.6,62383.22
2020-02-05,216546.8,112044.67
2020-02-08,62709.4,68642.34
2020-02-13,54492.9,44033.703
2020-02-17,187450.6,172404.78
2020-02-23,46630.7,55782.67
2020-02-24,57543.5,56907.137
2020-03-02,344637.7,378146.28
2020-03-03,328007.9,252913.81
2020-03-10,31668.4,49599.41
2020-03-16,353907.1,283941.66
2020-03-18,192201.2,159599.12
2020-03-19,81921.1,55049.89
2020-03-22,44889.1,67307.37
2020-03-25,89175.7,75341.74
2020-04-01,103665.3,132597.45
2020-04-03,38127.9,38594.45
